text,user_mentions_count,hashtag_count,quoted_status,binary_in_reply_to_user_id,binary_in_reply_to_screen_name,binary_in_reply_to_status_id,possibly_sensitive,user_statuses_count,user_followers_count,user_following_count,user_list_count,user_contributors_enabled,popularHashtag1,popularHashtag2,popularHashtag3,popularHashtag4,popularHashtag5,popularHashtag6,popularHashtag7,popularHashtag8,popularHashtag9,popularHashtag10,10 min RT,10 min FAVE,30 min RT,30 min FAVE,1 hr RT,1 hr FAVE,20 hr RT,20 hr FAVE,Classification,matlab,actual
Joey to the world!! https://t.co/0MPMPcbNpz,0,0,0,0,0,0,0,10526,935,136,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,4,0,4,0,,
Taught 3 new people how to make paper hats tonight 😂😂😂,0,0,0,0,0,0,0,19385,2750,257,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,3,0,,
Don't FaceTime&#44; call&#44; smile at&#44; none of that at mines. Just that simple. You feel me? 😅🤗,0,0,0,0,0,0,0,12322,1313,1091,3,0,0,0,0,0,0,0,0,0,0,0,3,0,4,0,4,0,9,3,0,,
The wonderful Toyah is back with #amour after a break &amp; is available to visit you till late tonight.#latenightlovely https://t.co/76oZyOJILq,0,2,0,0,0,0,0,5066,1944,1992,29,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,3,1,4,2,0,,
Fotos para RT (The Fame Monster Photoshoot #4) #MTVStars Lady Gaga https://t.co/KOAAtavp9T,0,1,0,0,0,0,0,11238,9438,7112,10,0,1,0,0,0,0,0,0,0,0,0,28,0,30,1,38,1,58,2,0,,
im also so thankful for jenna&#44; both her and clara are so inspiring and they have helped so many people even if clara was only fictional 💕,0,0,0,1,1,1,0,3759,581,229,3,0,0,0,0,0,0,0,0,0,0,0,1,4,1,4,1,4,3,5,0,,
@peopleslobbyusa this is perfect,1,0,0,1,1,1,0,2148,572,564,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,,
**white people**white people**white people**white people**white people**white people https://t.co/R8m4imuYgs,0,0,1,0,0,0,0,60362,1912,139,29,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,4,3,4,3,0,,
Continuing the WaterMelanie trend and being a brat&#44; all at once... https://t.co/As1ROLj5Yw,0,0,0,0,0,0,0,268,568,689,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,,
Are These The Worst Baby Names of 2013?  https://t.co/14Rejn6TJE,0,0,0,0,0,0,0,32038,73385,72810,235,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,,
World's Cutest Beetle. Spotted Paropsine Beetle.When they get scared&#44; they hide their legs &amp; antennae like a 🐢 https://t.co/UsMVXBoHwc,0,0,0,0,0,0,0,13933,785,176,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,3,0,,
That's a snorter.There are so many from which to choose mate. https://t.co/X6IdcFeFaI,0,0,1,0,0,0,0,180011,9235,9313,155,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,0,,
Kenny is the Man‼️ 💪🏼 https://t.co/AL5FHIiabk,0,0,1,0,0,0,0,8927,1915,177,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,,
Real-time #IoT data analysis is a hard nut to crack. Set up your own solution with #KaaIoT and @ApacheSpark: https://t.co/1dspaeZZ19 #Spark,1,3,0,0,0,0,0,426,1161,4173,86,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,3,3,0,,
Lovely Hand Crocheted Throw RUG in Cream Pink 40 in across by SweetTeaTreasures https://t.co/ldO72MtCEE via @Etsy https://t.co/Miukw3bGkJ,1,0,0,0,0,0,0,22577,1724,2343,320,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,1,2,1,2,0,,
Lmfao @SFGiants  https://t.co/B6J9kXxawM,1,0,1,0,0,0,0,34751,1616,1515,36,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,,
bournemouth scoring an offside goal from their first corner five minutes from time at stamford bridge is proof there is a higher being,0,0,0,0,0,0,0,19035,1330,572,35,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,1,4,0,,
Like i almost killed a bitch because of my anger. Like dead ass attempted murder on this chick because of my anger.  Had to chill,0,0,0,0,0,0,0,329673,13574,972,176,0,0,0,0,0,0,0,0,0,0,0,1,3,2,3,3,3,3,3,0,,
THIS IS THE CUTEST THING https://t.co/oRDxrYsA8P,0,0,0,0,0,0,0,4651,1289,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,0,,
Those were the days https://t.co/L0A3n24Pgx,0,0,0,0,0,0,0,24160,2273,1495,26,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,,
I don't know anything about football. But Bournemouth beat Chelsea? Lol. (I know that I don't like Chelsea) 👏🏿👏🏿👏🏿😎😎😎,0,0,0,0,0,0,0,12289,625,627,27,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,0,,
Pretty good if you ask me,0,0,0,0,0,0,0,11376,4376,318,21,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,10,0,13,1,,
Pulis would love Courtois at full back.,0,0,0,0,0,0,0,26329,1057,514,19,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,4,0,4,0,,
I only like Nicholas for his cousin👭 https://t.co/Q18AijqKyL,0,0,0,0,0,0,0,3028,704,702,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,5,0,5,0,7,1,,
Nice win today for @MSSUMensBball ... I bet @JeffBoschee is still signing autographs before every game. #legend https://t.co/1BX4nQScXZ,2,1,1,0,0,0,0,9916,1203,960,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,1,3,1,4,0,,
"you're so small ""i thought you were black"" ""is that your real hair?""  https://t.co/2Z9YwtgS5s",0,0,1,0,0,0,0,49696,955,288,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,2,0,,
the fcking accuracy  https://t.co/SgapO1G9QQ,0,0,1,0,0,0,0,60271,2382,169,8,0,0,0,0,0,0,0,0,0,0,0,4,8,4,8,4,8,4,10,1,,
"@Rosiculous @megsauce @emmalawson maybe I'm a glutton for pain but I love how Leslie's void goes all soft on ""I hear wailing in the streets""",3,0,0,1,1,1,0,40767,795,548,25,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,3,0,,
@aaronkylie Those flying boats are impressive&#44; I'm glad the kids liked the planes - pilots cleared for takeoff!,1,0,0,1,1,1,0,12393,5909,4455,299,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,0,,
New baby orca.  Number 7 💕 https://t.co/kyCgOp2sXt,0,0,1,0,0,0,0,28150,1129,1198,41,0,0,0,0,0,0,0,0,0,0,0,4,3,4,3,4,3,5,4,0,,
@heyitschris153 OMG THAT WAS GOOD 👌,1,0,0,1,1,1,0,35673,2668,986,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,,
All the time https://t.co/Kvif7ZilzD,0,0,1,0,0,0,0,21405,3731,516,23,0,0,0,0,0,0,0,0,0,0,0,2,5,2,6,2,6,2,7,1,,
I think I spoke to soon. He's one away now 🖖🏽🖖🏽🖖🏽🖖🏽🖖🏽🖖🏽,0,0,0,0,0,0,0,23448,181649,1145,1489,0,0,0,0,0,0,0,0,0,0,0,0,10,0,11,0,12,0,13,1,,
A nigga would use and abuse you until you can't used and abused anymore... Smh,0,0,0,0,0,0,0,133025,4810,2002,13,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,1,2,0,,
GLAD THAT YOU FIND IT FUNNY WHILE I HAVE NO IDEA WHAT HAS HAPPENED!!!-mystery  https://t.co/Q3T4ae8pyF,0,0,1,0,0,0,0,4603,2492,100,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,,
I spent $90 on a crystal naval piercing someone fucking take away my debit card pls,0,0,0,0,0,0,0,23093,542,523,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,3,0,6,1,,
Grow up. Every lunatic out there just needs an excuse&#44; frankly it could've been anything.  https://t.co/n5eRDG6VjB,0,0,1,0,0,0,0,20389,2422,248,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,2,0,,
Know the difference https://t.co/pKj8twNSBS,0,0,0,0,0,0,0,5768,58609,27328,84,0,0,0,0,0,0,0,0,0,0,0,29,71,33,82,39,96,60,140,1,,
@buffybat @JohnsDeliDevon @NDJournal @Journal2 well we hope you can come down &amp; enjoy some great #ndevon food soon https://t.co/lMVhfZjqKF,4,1,0,1,1,1,0,7712,8704,9465,117,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,2,0,,
Was asked where I find clients. Replied that clients find me. Various ways e.g. a special client discovered me through my Valentine's show.,0,0,0,0,0,0,0,2921,108865,7969,37,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,3,0,4,0,,
photomatt given the community a homework. Learn JavaScript&#44; and start with REACT!#WCUS #WordPress #JavaScript https://t.co/sJTNzEOGga,0,3,0,0,0,0,0,384459,2753,1,3437,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,4,6,1,,
litness for all norminah girls and this story. thanks lena https://t.co/MVYDQZMpio  https://t.co/UhyxFRLjOG https://t.co/rZRTXU98CJ,0,0,0,0,0,0,0,65912,2819,277,15,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,4,10,1,,
"Always appreciate a few moments of @questlove's time. Says The Roots will perform ""Mother"" tonight. #JohnLennon75 https://t.co/CTGVZ7fJOM",1,1,0,0,0,0,0,40843,5781,999,110,0,0,0,0,0,0,0,0,0,0,0,5,9,7,11,7,14,11,21,1,,
RESULT - Qualifying: Le Brocq&#44; Waters&#44; Dumbrell&#44; Webb&#44; A.Jones&#44; Hazelwood&#44; Jacobson&#44; A.Russell&#44; Davies&#44; Golding. #V8SC,0,1,0,0,0,0,0,2625,4161,173,39,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,1,3,1,4,0,,
💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀💀 oh my.  https://t.co/Q2VFsV67En,0,0,1,0,0,0,0,21844,1614,785,2,0,0,0,0,0,0,0,0,0,0,0,5,4,7,4,8,5,11,6,1,,
Nothing is ever forgotten&#44; not completely. And if something can be remembered it can come back. #whouffaldi #DoctorWho,0,2,0,0,0,0,0,198292,2555,2793,139,0,0,0,0,0,0,0,0,0,0,0,3,1,3,1,3,1,7,5,0,,
@profanityswan Are they from the pound shop? Don't complain if they taste of pound shop piss.,1,0,0,1,1,1,0,41684,2514,889,31,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,,
@BlueSpartan1 💕Thank you. You too&#44; God bless #Overflow,1,1,0,1,1,1,0,86408,15204,13943,146,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2,0,,
And that concludes the North Jersey HS football season. Class of 2017&#44; it's your ball. Make us proud.,0,0,0,0,0,0,0,74617,59486,3733,87,0,0,0,0,0,0,0,0,0,0,0,24,33,25,42,33,50,91,100,1,,
Oot wi the boys,0,0,0,0,0,0,0,10782,1834,1302,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,,
All I want for xmas https://t.co/fZzFA2oqaK,0,0,0,0,0,0,0,13017,4014,65,6,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,3,0,,
The Dexedrine is wearing off. Thanks for RTs and favourites. Goodnight and God bless,0,0,0,0,0,0,0,7101,10921,10440,27,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,0,5,0,6,1,,
Chicken kickers and cheese twisted dough balls from dominos are where it's at 😍😍😍,0,0,0,0,0,0,0,23542,807,496,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,,
7 Coping Skills to Use in the Face of Passive Aggression https://t.co/80CYxUal6e #mhsm #mentalhealth,0,2,0,0,0,0,0,89444,110721,5092,3472,0,0,0,0,0,0,0,0,0,0,0,4,3,5,4,5,4,10,9,1,,
I adore my Rosie. https://t.co/zZUvIG74cS,0,0,0,0,0,0,0,23527,515,280,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,,
@The_RobertEvans I like the sound of this 😄 #UrbanCowboy  https://t.co/al3iSYOm3f,1,1,1,1,1,0,0,274055,29432,31654,2423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,,
I've been feelin so good about myself lately💞 https://t.co/3Omj4JarJ0,0,0,0,0,0,0,0,26672,1984,380,9,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,6,0,8,1,,
They ain't a Hunnit 😪 https://t.co/ye6EKXgc7Z,0,0,1,0,0,0,0,19231,971,672,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,2,0,,
im pissing myself 😂😂😂😂 WTF IS THIS 😭😭😭😭😭😭 https://t.co/NJOUKQbCmV,0,0,1,0,0,0,0,10809,3467,1183,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,,
#Dubai is magical!! 😍🇦🇪 #DubaiMarina https://t.co/PSN2CnKjbp,0,2,0,0,0,0,0,9023,1617,859,34,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,,
@EWErickson Anger issues and you have a gun? Oops!,1,0,0,1,1,1,0,85073,3679,3557,82,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,4,0,,
H17BD @hannah_fogus (-: thanks for all the laughs and chipotle dates! can't wait to celebrate💘 https://t.co/cr21ENVwYK,1,0,0,0,0,0,0,10237,564,532,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,4,0,,
@BKasp12 @dhecker4 @sammentos2 @JonnyVW4 @TrevorCarli @maxgereau Russell you would be in this but I don't see you,6,0,0,1,1,1,0,3129,611,330,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,3,0,5,0,,
I think I'm on 60% lol https://t.co/8quIIH2rjv,0,0,1,0,0,0,0,78219,5290,3666,36,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,2,2,0,,
New puppy!! You love him too #oskartheelevated #yesinamedmypuppy after a #bookcharacter from #mybooks #zariafierce https://t.co/ax5fslkFsp,0,5,0,0,0,0,0,15377,3496,2083,241,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,,
Thanks to my top interactors! @KimCoxAuthor @FantasySchaefer @macjam47 @ajackson7   #tweetjukebox via https://t.co/HNvS0IXEgW,4,1,0,0,0,0,0,54510,12066,12060,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,
Nasty babes want to fuck https://t.co/NvZLDH4UI9 https://t.co/8pYYesxdbQ,0,0,0,0,0,0,0,9475,9430,6491,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,,
Nacho I better not see you in these you too real @Nacho_belri  https://t.co/GrAzJOf58g,1,0,1,0,0,0,0,4705,549,591,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,,
Everyone's getting so worried about everything. Live life as normal&#44; if something bad is going to happen - there's nothing we can do...,0,0,0,0,0,0,0,30416,835,648,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,,
When somebody gets offended over a tweet https://t.co/y718XMlAgy,0,0,0,0,0,0,0,5769,58608,27328,84,0,0,0,0,0,0,0,0,0,0,0,29,65,38,84,39,95,53,141,1,,
Good luck tomorrow both of you ☺️😘❤️ @Naz_izi @omgAdamSaleh 🇬🇧🇺🇸,2,0,0,0,0,0,0,26614,1531,196,5,0,0,0,0,0,0,0,0,0,0,0,1,5,2,7,5,10,8,22,1,,
Always a good time seeing @CarissaKemnitz 😘💙❤️ https://t.co/saQdelvBVU,1,0,0,0,0,0,0,15236,904,519,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,3,0,6,1,,
The boys hit 28.4k on INSTA - Matina So proud of them 😜❤️❤️😍😍🎉🎉 https://t.co/gQWxjRIFm0,0,0,0,0,0,0,0,15839,1229,832,13,0,0,0,0,0,0,0,0,0,0,0,2,5,4,7,4,7,4,8,1,,
Because You are with Me&#44; I will not fear. @aldenrichards02 @mainedcm @r_faulkerson @macmendoza75#SPSDamiKongTawa https://t.co/gfQ8JNlWVG,4,1,0,0,0,0,0,11218,2643,2644,5,0,0,0,0,0,0,0,0,0,0,0,6,5,6,5,6,5,6,5,0,,
My life is  https://t.co/1ctBQKL9uW,0,0,1,0,0,0,0,15177,737,756,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,2,0,2,0,,
when you get ready for your exo concert thinking it's going to be cold but it's really hot that day https://t.co/kxWHvdU4rr,0,0,0,0,0,0,0,49761,3046,252,66,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,3,5,4,5,0,,
"Video: Rick Ross Addresses Drake's ""Back to Back"" Meek Mill Diss | https://t.co/9c57NgxzEO",0,0,0,0,0,0,0,332950,47945,25050,196,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,2,0,,
You probably smile like that all the time&#44; i don't mean to bother you but I couldn't just walk by&#44; and not say hi. @SamHuntMusic,1,0,0,0,0,0,0,286,509,1264,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,,
go bestfriend&#44; that's my bestfriend❣🔥 https://t.co/iKtabvNqMd,0,0,0,0,0,0,0,19656,1534,308,7,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,2,0,,
when you tell your niggas you gon get the guts &amp; they don't believe you &amp; you actually do it https://t.co/cVgTRtjrpj,0,0,0,0,0,0,0,76547,1318,855,6,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,3,6,5,0,,
That's why you have Dan https://t.co/KGN5G8hLug,0,0,1,0,0,0,0,25806,648,597,5,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,,
it makes me happy that ariana is resting and recording her new music and taking a break that's all i want,0,0,0,0,0,0,0,97237,51836,1953,618,0,0,0,0,0,0,0,0,0,0,0,2,3,3,4,3,4,3,6,1,,
The freshman won hazelwood central tournament with Four 1st places&#44; two 2nd places&#44; two 3rd places&#44; two 4th places,0,0,0,0,0,0,0,1245,545,129,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,1,4,1,6,1,,
Bruce is dead. And in comics&#44; dead is dead. It's not like I'm writing Bruce healed and better than ever already. No. https://t.co/g4i1WpX2nn,0,0,1,0,0,0,0,28417,123635,1416,2357,0,0,0,0,0,0,0,0,0,0,0,7,59,8,75,12,85,21,139,1,,
why have I just downed a pint of squash 🙄,0,0,0,0,0,0,0,4972,551,489,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,,
[Nuzzles your neck] https://t.co/MvuDmRZvbD,0,0,1,0,0,0,0,12397,986,1141,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,,
Our fellow Nadir is holding it down at the Noel Night Build Bazaar with his business @3andathird. https://t.co/NaYH2BAHx5,1,0,0,0,0,0,0,4602,7576,2560,196,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,2,1,4,0,,
I was third in the district for sales yesterday. Holla at cha giiiiiirl.,0,0,0,0,0,0,0,18773,616,566,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3,0,5,0,,
5SOS on the Jingle Ball snap chat (via @5SOSHeroesInfo) -I :)x https://t.co/e6XNMdEjsa,1,0,0,0,0,0,0,42085,12231,157,45,0,0,0,0,0,0,0,0,0,0,0,6,2,6,3,6,4,6,5,0,,
Puts a tiara on Genevieve.“Co-Princesses!”,0,0,0,0,0,0,0,53897,1387,154,13,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,2,0,,
There's a lot the Griz did wrong today but you have to credit NDSU&#44; they are phenomenal defensively especially at home,0,0,0,0,0,0,0,11284,1305,738,20,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,,
history au where everything is the same except the culper ring uses the technology from spy kids,0,0,0,0,0,0,0,28273,695,144,9,0,0,0,0,0,0,0,0,0,0,0,2,5,2,6,2,7,4,9,1,,
Magna Vista holds off comeback to reach football title gameDetails: https://t.co/zAaenAikca,0,0,0,0,0,0,0,2185,807,1085,17,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,4,4,7,1,,
Enrique Iglesias has hit the stage! #McAllenParade #RGV https://t.co/9V3PkACknP,0,2,0,0,0,0,0,37082,44296,264,378,0,0,0,0,0,0,0,0,0,0,0,1,3,3,6,3,6,3,12,1,,
One day I'll stop having to rely on making sad money ghost money and I'll have people working on my dream money weekend money w/me instead.,0,0,0,0,0,0,0,9572,1190,377,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0,,
#Indianapolis &amp; #Indiana Events for the Next 7 Days: https://t.co/BK1Z2ckbRD https://t.co/ODbrDwVusE,0,2,0,0,0,0,0,59361,13959,13870,429,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,,
"There was a shelf full of stuff w a sign ""gifts for everyone"" at Burlington and my cousin thought everything on the shelf was free 😂😂😂",0,0,0,0,0,0,0,11810,971,728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,,
This beat is automatic&#44; supersonic&#44; hypnotic&#44; funky fresh,0,0,0,0,0,0,0,947,520,465,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,8,0,9,0,12,1,,
Can't say I'm not the best 🤕 https://t.co/8hqYDHvPln,0,0,0,0,0,0,0,30648,1174,797,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,2,0,2,0,,
HE WAS THE ONLY PERSON IN BETWEEN THE GOAL AND THE BALL.LEARN THE BLOODY RULES. https://t.co/6pquZzw8uv,0,0,1,0,0,0,0,7675,14139,9730,79,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2,2,3,0,,
"@pkollar ""what's that smell? have you been reviewing the order 1886?"" [sheet of printer paper sticking out of phil's mouth] ""mmmnnnnn""",1,0,0,1,1,1,0,124076,3222,935,157,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,2,0,,
I have a thing for big sunglasses https://t.co/6jzEmpgswG,0,0,0,0,0,0,0,8005,678,367,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,6,0,13,1,,
Thanks again for 1.1k!,0,0,0,0,0,0,0,8248,1106,1679,6,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,0,10,0,10,1,,
you expect me to just let you hit it&#44; but would you still respect me if you get it,0,0,0,0,0,0,0,9421,750,380,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,2,0,,
I was so fucked up but I was still cute 😛🙄 https://t.co/8IbAb83D3G,0,0,0,0,0,0,0,80500,4282,3087,10,0,0,0,0,0,0,0,0,0,0,0,0,4,0,6,0,6,0,7,1,,
@Shananay_G Ok..you asked for it brill Shannon! https://t.co/nXzqEBiHf8,1,0,0,1,1,1,0,199297,3743,3700,115,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2,1,2,0,,
.@cassieclare is reading Lady Midnight to the contest winners! #ShadowhuntersPhoto credit: @staygoldjonny. https://t.co/TprzSb0WTC,2,1,0,0,0,0,0,7282,14886,325,92,0,0,0,0,0,0,0,0,0,0,0,11,28,15,33,17,38,23,58,1,,
@1Dnoticia to passnado mal,1,0,0,1,1,1,0,93068,12253,6596,45,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,2,0,,
Kecoughtan plays LC Bird in the next game here at KHS. LC Bird features one of the states best backcourts in Mario Haskett and Pinky Wiley.,0,0,0,0,0,0,0,33185,3158,1836,34,0,0,0,0,0,0,0,0,0,0,0,2,2,2,2,3,2,3,4,0,,
@NoVA_Beer many thanks for a successful Stout Fest! Good to see @DAClark1970 @DizkoDan thanks @MudHoundDan for pic! https://t.co/Dvknpc4iT2,4,0,0,1,1,0,0,1209,611,1143,22,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,3,0,,
Amp don't do it they are gonna freak😂😂😂😂😂 https://t.co/QEFHmL2Vw1,0,0,1,0,0,0,0,1076,604,214,2,0,0,0,0,0,0,0,0,0,0,0,1,2,1,2,1,2,1,2,0,,
12 yrs a mum&#44; 9 yrs a single parent: we are amazing! consistent&#44; self-reliant and sometimes stoic. Thanks @Gingerbread forum for reminder.,1,0,0,0,0,0,0,4594,22496,922,182,0,0,0,0,0,0,0,0,0,0,0,1,16,1,18,1,25,3,49,1,,
